outcome,classification,icc,term,Value,Std.Error,t-value,p-value
bucket_communication_and_creative_pct_posts,aug,0.501,Intercept,78.42633017260651,2.1667584685837507,36.19523417571687,7.235160251225889e-287
bucket_communication_and_creative_pct_posts,aug,0.501,TIME,-0.036472420112704004,0.01924743384756304,-1.8949237805704608,0.05810250014918682
bucket_communication_and_creative_pct_posts,aug,0.501,TRANS,0.8247306447356656,0.9794869298385654,0.8420027053057195,0.3997864391715744
bucket_communication_and_creative_pct_posts,aug,0.501,RECOV,0.03264945953494667,0.05372415107102286,0.6077240660682449,0.5433704987531984
bucket_communication_and_creative_pct_posts,aug,0.501,Group Var,1.0063143305099536,0.1933588625232549,5.204386896871231,1.9463812334658528e-07
bucket_communication_and_creative_pct_posts,auto,0.343,Intercept,-1.1161354869621028e-15,102291736.72646143,-1.0911296676355817e-23,1.0
bucket_communication_and_creative_pct_posts,auto,0.343,TIME,0.08857096116356142,0.05417396368999605,1.6349359568813908,0.10206247378307416
bucket_communication_and_creative_pct_posts,auto,0.343,TRANS,-6.16444855390417,2.8809967697976187,-2.1396929765864345,0.0323795870271644
bucket_communication_and_creative_pct_posts,auto,0.343,RECOV,-0.0501032806097762,0.14270289681664391,-0.3511020569831382,0.7255117848154513
bucket_communication_and_creative_pct_posts,auto,0.343,Group Var,0.0,,,
bucket_communication_and_creative_pct_posts,both,0.0,Intercept,2.604587397854315e-16,57180687.0885481,4.555012418477829e-24,1.0
bucket_communication_and_creative_pct_posts,both,0.0,TIME,-0.01722118039283671,0.024515828178494188,-0.7024515046953829,0.48239763488401555
bucket_communication_and_creative_pct_posts,both,0.0,TRANS,-4.020917557131639,1.1586388887719812,-3.4703802850889387,0.0005197219634290456
bucket_communication_and_creative_pct_posts,both,0.0,RECOV,0.29110264620581433,0.06420476716212582,4.533972461433281,5.788457929536605e-06
bucket_communication_and_creative_pct_posts,both,0.0,Group Var,0.0,,,
